"comment","title","text_number","topic","year","month","yyyy","mm"
"저 하구 있는데 괜찮다라구요
아이도 재미있어 해요","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"아, 그렇군요 ㅎ 무료체험 이것저것 해봤는데 솔직히 비교가 잘 안되네요 ㅠ 일단 아들램이가 하고프다는거 하나 있는데 다른 것도 좀 해보고 결정할까해서요 ㅎ","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"저희도 체험하고 나서 지금 하고 있어요. 각자마다 장단점 있는거 같아요. 아이가 좋다고 하는걸로 했네요","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"아, 그렇군요 저도 지금 알아보고 있는데 탭만 받아서 하다보니 골고루 활용을 잘 못해서 고르기가 좀 힘든듯요 ㅠ","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"저희애둘 일년째하고있어요~ 둘다알아서들잘해요~^^
저두 만족하고있구요~~^^","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"밀크* 많이들 하시는거 같아 궁금했는데 하시는 분들 만족도가 다들 높은거 같으네요~^^","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"저도 이것저것 체험해봤는데 아이가 밀크티를 젤 맘에들어해서 밀크티로 수업하고있어요. 이제 한달안된거같아요. 매일매일 오늘의 학습도 하고 아이가 어느정도인지 학습평가진행후에 하루하루 맞춰서 일정잡아주시더라구요. 7살 여자아이인데 자기전에도 밀크티 들여다보고자요ㅎㅎ","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"어머, 그렇군요 ㅎ 요거까지만 체험을 좀 해보고 정할까싶은데.. 제가 탭만 받아서 듣다보니 비교하기가 쉽지 않은.. ㅎ","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"저희 아들도 밀크티. 웅진. 홈런 세가지를 같은 기간에 체험해서 본인이 고른 게 밀크티였어요. 그래서인지 재작년12월부터 지금까지 매일매일 하고 있고 어느정도 자기주도학습도 되는 듯 해요. 사실, 셋 다 내용면에서는 나무랄 데가 없었고 구성이 아이랑 잘 맞는지만 보면 될것 같구요. 제가 해보니 선생님과의 소통이 의외로 중요했어요. 학습스케줄짜고 진도, 좋아하는 분야 넣고 빼고.. 아이와 잘 맞아야하구요. 이야기가 넘 길어졌네요^^;;;;","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"아닙니다~ 맘님 댓글 너무 감사합니다~ 저도 지금 두 개 정도 체험하고 아들램이 하나 골랐는데.. 신랑이 좀더 알아보고 비교해서 결정하는게 좋을거 같다고해서 찾아보다보니 밀크티 많이들하시는거 같아 궁금했거든요~^^ 맘님 말씀대로 아이에게 잘 맞는지가 중요한거 같아요~매달 내는 비용이 적은 돈이 아니다보니 저도 아직 아이가 꾸준히 잘 할 수 있을지 확신이 안들어서.. ㅎ 밀크티 까지만 체험 해보고 아이가 더 흥미 있어 하는걸로 고를까하구요 ㅎ 댓글 넘 감사합니다~","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"연경v귀여우니맘^^ 좋은 선택하시길 바래요~~😊","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"중리콩이맘넵~ 댓글 감사합니다^^ 아이가 학원도 안갈려고하고 아무것도 안할려고해서.. 집에서 요거라도해야 공부를 좀 시킬거 같아서요.. ㅎ ;;","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"아직 학원 안보내고 집에서 밀크*랑 연필영*에서 화상영어시키고 있는데 요즘 다 잘나와서 몇곳에서 체험하고 아이가 흥미있어하는곳에서 하는게 제일 좋은것 같아요~","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"넵넵 ㅎ 댓글 감사합니다~ 밀크*까지만 시켜보고 아들램이랑 잘 상의해서 고르겠습니다^^","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"체험했을 떄 영어공부시켜주기 좋아서 시작했어요. 과목마다 아이에게 맞게 단계 조절하면서 공부할 수 있고,
영어는 책이나 동화를 보면서 리딩이랑 리스닝을 같이 공부할 수 있다는 점이 마음에 들었어요.","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"유명한 학습지 비교하고 무료체험 후 아이가 ㅇㅋ 재미있어 하고 집에서 여러번 노출 시켜 줄 수 있어 하고 있고 학습지가 있어 복습 할 수 있어 만족스러워요.","초등학교 저학년 학습지 뭐 이용하시나요??","1559184","초등 밀크티","2022","01","2022","01"
"답변 감사드려요~^^","초등학교 저학년 학습지 뭐 이용하시나요??","1559184","초등 밀크티","2022","01","2022","01"
"윙k로 해주고 잇어요 아이들 쉽게 학습 할수 있어 좋은거 같아요 지면 이랑 패드 학습도 되고요","초등학교 저학년 학습지 뭐 이용하시나요??","1559184","초등 밀크티","2022","01","2022","01"
"그렇군요 ㅎ 맘님 찐후기 감사합니다~ 저도 부지런히 찾아 체험해보고 아들램에게 맞는걸로 잘 골라서 학업에 도움을 좀 줄 수 있었음 좋겠네요 ㅎ","⚘밀크* 수업 하시는분 계실까요?","5736700","초등 밀크티","2022","02","2022","02"
"저희집 애는 아이캔두 잘하고 있어요^^무료체험 가능해요~~^^","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"챗드렸어요 :)","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"와이즈캠프요~관리가 꼼꼼해요!!","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"일하는 엄마들 입장에서 내가 없을때 아이가 스스로 할 수 있는것과 내가 퇴근하고 와서 어디까지 얘가 했는지 확인할 수 있는게 필요하긴해요 저는 집에서 하프스터디 패드 수업 하는데 AI로 학습관리 다 해줘서 제 입장에서도 편해요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"범물동V아리나저도~ 하프스터디 해주는데반갑~^^","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"저희아이빨간펜하다가,눈높이학습지하다가,지금현재와이즈캠프프리패스하고있어요.ㆍ올해초4학년입니다
와이즈캠프추천드립니다
관리잘해주시고여러프로그램있어서좋더라구요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"첫째 7세예요~
빨간펜 누리키즈 하고있어요~","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"챗드려요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"무료체험 해보시고 아이에게 맞는거로 좋아하는거로 하시면될것 같아요~저희는 웅진 스마트올해요ㅎ","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"전부 무료체험이 가능하니 해보시고 결정하시는게 젤 좋을거 같아요^^","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"빨간펜 하고 있어서 연장하면 할인해준다기에..아이캔두 이어서 하고 있어요~ 예전에 밀크티랑 홈런 체험도 해봤는데.. 다시 선택한다면 아마...그쪽으로 할 듯 해요 ㅋㅋㅋㅋ 2년 노예계약 시작되서 참고있어요 ㅠㅠ","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"밀크티,홈런이 더낫다는말씀이시죠? 빨간펜은별로든가요?","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"서구유니마밍유치원까지는 이정도면 괜츈하네.. 싶었는데 밀크티랑 홈런 체험을 해봤더니 초등은 그쪽이 더 낫더라고요. 이게 2년 약정인데다가 태블릿 금액까지 있어서 ... 지금 7세면 초등까지 생각해서 결정하시는게 나을 것 같아요.
제 기준에는 빨간펜이 별로라는게 아니라... 밀크티랑 홈런 컨텐츠가 더 나은것 같아요.","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"남산딸둘맘그렇구나홈런하고 밀크티 두개 체험한번 해봐야겠네요^^감사합니다","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"서구유니마밍넹~ 카페에 저도 이전에 학습지때문에 고민글 올렸다가 쳇을 하도 많이 받아서 왠지.. 같은 경험하실 것 같아요 ㅠㅠ 직접 아이가 체험해보게하고..선택하세요~ 2년약정이라....","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"저희아이들은 홈런하고있어 7살겨울방학부터해서 이제 2학년 올라가니 1년 조금 더 했네요 나름 만족합니다 매일 조금씩 꾸준히 하는 습관이 들여지는게 제일 좋은것같아요 선생님께서 관리해주시니 그것도 좋구요
소개이벤트도있더라구요 소개원하시면 해드릴께요~^^
체험만해도 네이버포인트 주더라구요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"전 아이캔두 하는도중 와이즈캠프체험했는데 비슷비슷했어요 다들 차이점얘기하고 자기들게 더 좋다고 하지만 비슷해보였어요 차례로 체험해보심 차이점 보이실꺼에요 아이캔두도 약정이남아서 하는중이지만 글타고 바꿀생각도 없어요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"초등학교에 들어가면서 밀ㅋ티로 공부시작했어요. 교과연계가 좋으니까 지면학습지랑 병행하면서 공부하기 좋아요~
아이 학습 관리해주시는 선생님이 따로 계셔서 학습 상담이랑 화상으로 수업도 잘해주셔서 만족하고 있어요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"쪽지드립니다~^^","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"윙크도 해보세요 저는 밀크티 체험도 해봤는데 좀 어려움이 있더라구요. 윙크는 화상수업도 하는데 설명도 잘 해주시고
아이도 집중도 잘 하네요","웅진스마트올키즈, 아이스크림홈런,밀크티아이,빨간펜아이캔두 뭐가좋을까요?","5733208","초등 밀크티","2022","02","2022","02"
"챗드려요","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"뭐 괜찮긴한데~저희집은 하프스터디가 더 잘맞네요","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"연령대가틀려요 밀크티아이는 유아들요~^^","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"밀크티아이는 유아용 밀크티는 학생용이용ㅎㅎㅎ 저 아이 하고 있어요","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"체험해보시고 하시면 될듯요 9세로 신청해서 6세도 같이보면 될거 같아용~ 저도 1년됐네용!!","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"밀크티아이는 미취학용이고, 밀크티는 초등학생들이 공부해요.
저희는 밀ㅋㅌ로 공부해주고 있는데 교과연계가 좋아서 방과후에
복습해주면서 공부하고 있어요. 아이 수준체크하면서 공부 스케줄을
조절할 수 있고 과목마다 단계 조절이 가능해서 아이가 잘 따라 공부해요.","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"직접바로가입하지마시고. 영사분통해 가입하세요~ 그럼혜택이더많아요","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"저는 추천받아서 밀ㅋㅌ중인데 만족해요! 아이 어렸을때부터 초등학교때까지 쭉 이어서할수있고 학습내용이 탄탄하ㄷㅓ라구요! 영어같은경우는 이미지로 단어외우니깐 훨씬 아이가 수월하게 외워요!!!","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"ㅁㅋㅌ에서 연령별로 나뉘어있는거고 천재교육에서 하는건 아마 동일할거에요
학습 스타일은 아마 학년별로 차이가 있겠지만 아직 미취학 아이들이니 ㅁㅋㅌ아이겠네요~
스마트 패드로 학습하고 종이 학습지도 함께 쉅할수있어서 놀이처럼도 하고 공부하는것처럼도 할수있어요~","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"사용하는 아이 연령에 따라서 달라요~ ㅎㅎ 저두 지금 사용중인데 수업 방식이 다양해서 아이도 재밌어하고 지면도 분기별로 와서 같이 사용하고 좋아요ㅎㅎ","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"예비초1 1년째 잘 하고있어서 7살동생도 얼마 전에 가입했어요~다음달에 비용이 인상된다해서요ㅠ저는 개인영사님께 가입했는데 혜택을 하나라도 더 챙겨주실려고하시고 관리도 꼼꼼해서 만족했어요!공유챗드려요☺","밀크티?밀크티아이?","5731440","초등 밀크티","2022","02","2022","02"
"챗드려요^^","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"저도 학교가는데 전 wink로 학습해주니 좋더라고요 매달 문제집도 오고 연산도 같이하면서 기초학습 잡아주기에노 만족해요 다양하게 체험해보세요","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"구몬은 수학이 연산만 있구요. 눈높이는 연산 교과 둘 다 있어요.","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"저는 초1 윙ㅋ로 봐주네요 기초부터 수준별학습할수있고 초등연계수업이라 저학년까지 해주려고요 매달오는 지면말고도 초등 문제집 분기별로와서 봐주기좋아요","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"윙크도 방문 수업이 가능한가요?","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"코로나때문에 저는 집에서 공부습관 ㅇㅋ 학습지로 하고 있어요. 영어동화책 읽기. 연산연습.
한글독해력 연습 매달오는 지면으로 복습하고 있어요.","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"다양하게 알아보세요 윙k괜찮아요~ 교과과정 문제집이랑 단계별 학습 등 각각 스케쥴있어서 든든하게 챙겨주네요 ~
스케쥴대로 학습하니 어렵지도 않고 홈스쿨 해주기 충분해요","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"저는빨간펜추천합니닷","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"저도 신서동 사는데 ㅎ 반가워요🙂 저희아이는 패드학습하는데 독서도 같이 할수있어서 좋더라구요","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
"신서 눈높이는 981-3222예요.전화해보세요","구몬이나 눈높이등 학습지 추천해주세요","5728445","초등 밀크티","2022","02","2022","02"
