"title","date","click","text","text_number","topic","year","month","yyyy","mm"
"아이 교육 질문 드려요","2022-04-14 20:41:00.000","275","안녕하세요~
초등학생 아이 학원 다니고 있는데 학원을 하나 더 보내자니 힘들어 할것 같아서 학습지를 해보려고 해요
과목은 영어, 중국어, 한자 등 중에서 생각하고 있어요
주변 지인들이 눈높이, ybm교육, 밀크티를 추천해주던데 어디가 괜찮은지 추천 부탁 드려요~","6987657","초등 밀크티","2022","04","2022","04"
"애 공부때문에 한숨 나와요..","2022-04-12 20:47:00.000","2052","제가 무슨 전담 과외선생도 아니고
언제까지 제가 알려주고 떠먹여줘야 되는지
궁금해요.
초등 2학년인데 문제를 안읽고 대충 풀어서
맞을수 있는 문제도 틀리구요
문제 자체를 이해 못하는 경우는 더 많네요
제가 엄청 설명해서 문제 이해 시켜주면 그제서야 푸는데
이걸 언제까지 해줘야 되는걸까요
자기가 좀 풀어보려고 노력도 안하고
어려우면 그냥 틀려버리고
제가 꼭 문제풀이 가이드를 해줘야 겨우 맞히네요.
밀크티 학습기로 공부하는데 이건 순 공부잘하는
애들 용도에요. 엄마가 그냥 문제집사서 가르치는 거랑 뭐가 다른지 모르겠어요.
습득력 느린 애들은 학원이나 학습지쌤이 오시는게 낫지..
진짜 피곤하네요..","6985609","초등 밀크티","2022","04","2022","04"
"밀크티 or 와이즈캠프","2022-04-05 08:09:00.000","305","무료체험중인데,
둘다 비슷한거 같아요ㅎㅎㅎ 결정장애ㅠ
저는 와이즈캠프. 아이는 밀크티..
근데 와캠 패드가 16년꺼더라구요
그것도 좀 신경 쓰이고ㅠ
아이는 벌써 컵 모아서 게임도 하네요 ㅋㅋㅋㅋ
게임한거보고. 계속 시켜야할지 고민이 엄청 됩니다ㅠㅠㅋㅋㅋ
까페글보니 추천하면 혜택이 많은거 같네요?
어떤혜택이 있는걸까요?
무료체험 중이어도 맘님들 말씀하시는 혜택을 받을수 있을까요?","6978355","초등 밀크티","2022","04","2022","04"
"초등 저학년 학원요","2022-04-03 16:22:00.000","436","초2 여아인데요. 굉장히 귀찮음쟁이에요. 학원도 다니기 싫어하고 집에서 엄마랑 같이 공부하기도 싫어하고요. 그나마 밀크티 수업하는거에 만화 나오는거나 줄창 보고, 공부하자고 하면 인형놀이 하겠다고 하고.. 넘 스트레스 받네요. 다 치우고 강제로라도 학원에 보내야할까요? 여아인데도 맘대로 안되네요 고집도 쎄고 말도 안듣고..","6976983","초등 밀크티","2022","04","2022","04"
"패드학습지도움되나요?","2022-06-16 08:41:00.000","533","웅x 스마트올 체험햇는데 갤럭시탭 옛날거라서 부팅이 너무 느리더라구요, 그래서 애가 답답해라더라구요
전하고픈데ㅜ 답답해하니 허허
하시는준계실가요?
신청 할가말가 고민중이라 다들 어떤프로그램쓰세요?
프로그램은 조은데 부팅 하는 속도가 너무느려서
보류중인데요 하시는분들 도움되실가요?어떤거 사용하고계실가요","7042708","초등 밀크티","2022","06","2022","06"
"7살아이 한글공부 도움요청드려요~!","2022-06-15 13:53:00.000","609","7살여아를 키우고있는 워킹맘 입니다.,
이미 늦은감이있지만 지금이라도 한글이나 수학좀 가르쳐주려고합니다, 영어까지는 바라지도 않구요..
학습지 이것저것 해봤지만 꾸준히
하기보다는 잠깐흥미를 가지고 놀고싶어하는게 커서 간단한 받침없는 한글정도까지 지금 같이 학습지로 퇴근후 저랑같이 학습하고 있습니다. .
제자식 가르치는거 아니라는게 ..가르치다보면 화가나서 애한테 큰소리치게되고..ㅜ 매일 화내고반성하고 있네요ㅜㅜ
초등학교 가기전에 한글은 떼고가자 라는마음이 앞서서 조급한마음이 큽니다..ㅜ
선배맘님들 어떻게하면 아이한테 화내지않고 학습에 도움을줄수있을까요.,","7042106","초등 밀크티","2022","06","2022","06"
"중딩 인강 추천해주세요","2022-06-11 20:43:00.000","390","중1이고 영수학원은 다니고 있는데
국어사회과학 등등 다른과목은 전혀 안해요
문제집 사다준거 풀지도 않아서
선생님이 관리해주시는 인강신청하고 싶은데 어떤게 괜찮을까요?? 선생님이 관리해주면거 국어사회과학만 들을수 있는 인강도 따로 있을까요?
조언부탁드립니다^^","7038954","초등 밀크티","2022","06","2022","06"
"초등1학년 학습지","2022-06-07 13:59:00.000","461","집에서 해보려는데요. 어떤거 시키시나요?? 제가 봐주려고요. 추천부탁드려요.","7034808","초등 밀크티","2022","06","2022","06"
"초등학교 1학년 때 영어 뭐 배우나요?","2022-06-29 20:39:00.000","635","딸이 영어학원을 다니는데 스피킹 위주라 그런지 알파벳을 못 읽더라구요
1학년 때 교과과정엔 알파벳이 없나요?
기대했던 거랑은 달라 여쭙습니다","5689685","초등 밀크티","2022","06","2022","06"
"초등 학습지 학원 안하고","2022-06-27 22:22:00.000","816","집에서 독학하는 친구들
어떻게 하세요?
물론 부모가 함께하겠죠?
학원 안보내시는 분들 계시나요?","5687509","초등 밀크티","2022","06","2022","06"
